1,16.2722,100.35,1.2.192.0/23,,,
1,-33.7667,150.9167,1.41.64.0/20,,,
1,-30.2963,153.1135,1.43.7.0/24,,,
1,-33.8698,151.194,1.43.16.0/23,,,
1,10.8142,106.6438,1.54.0.0/22,,,
1,35.685,139.7514,1.75.192.0/21,,,
1,-27.0846,152.9511,1.156.203.192/26,,,
1,-37.7412,144.7363,1.159.65.0/24,,,
1,23.4792,120.4489,1.175.160.0/21,,,
1,13.75,100.4667,1.179.168.240/28,,,
1,12.8639,74.8353,1.186.56.0/23,,,
1,37.603,127.0115,1.211.72.0/21,,,
1,37.5985,126.9783,1.221.64.0/21,,,
1,37.3925,126.9269,1.235.32.0/23,,,
1,37.5985,126.9783,14.40.88.0/22,,,
1,22.5833,113.0833,14.120.160.0/19,,,
1,22.2833,114.15,14.136.198.0/23,,,
1,18.975,72.8258,14.139.124.96/28,,,
1,23.1167,113.25,14.152.128.0/17,,,
1,10.8142,106.6438,14.169.144.0/22,,,
1,28.4667,77.0333,14.194.236.0/24,,,
1,-37.8771,145.1294,14.201.68.0/24,,,
1,-27.5667,152.9667,14.202.87.0/24,,,
1,-32.081,116.0054,14.203.140.0/22,,,
1,-33.9167,151.0333,14.203.155.0/24,,,
1,13.75,100.4667,14.207.75.0/24,,,
1,10.0333,105.7833,14.237.24.0/21,,,
1,16,106,14.246.128.0/17,,,
1,17.3753,78.4744,27.59.136.112/28,,,
1,12.5,75,27.61.53.0/25,,,
1,13.0833,80.2833,27.62.80.0/24,,,
1,35.8492,139.9485,27.82.16.0/23,,,
1,35.477,139.487,27.92.150.0/23,,,
1,35.6994,139.8303,27.94.204.0/22,,,
1,32.9667,129.9333,27.132.100.0/23,,,
1,35.69,139.69,27.135.64.0/21,,,
1,37.5091,122.1136,27.203.64.0/18,,,
1,-7.1502,111.8817,36.67.230.0/24,,,
1,-6.1781,106.63,36.71.82.0/23,,,
1,-6.8222,107.1394,36.72.88.0/24,,,
1,-7.6298,111.5239,36.74.38.0/24,,,
1,13.4746,144.7464,38.99.242.0/23,,,
1,24.8036,120.9686,39.9.201.0/24,,,
1,25.0478,121.5318,39.12.194.0/23,,,
1,37.2859,127.0099,39.117.136.0/22,,,
1,-20.3094,57.5008,41.136.34.0/23,,,
1,-21.2831,55.518,41.213.252.0/25,,,
1,34.6836,113.5325,42.1.128.0/17,,,
1,25.0478,121.5318,42.72.184.0/22,,,
1,23.4792,120.4489,42.75.240.0/21,,,
1,23.5,121,42.76.108.0/23,,,
1,24.5643,120.8237,42.76.136.0/23,,,
1,23.0333,72.6167,42.106.34.0/25,,,
1,28.6667,77.2167,42.108.184.0/23,,,
1,13.0833,80.2833,42.111.172.0/24,,,
1,21.0333,105.85,42.112.157.0/24,,,
1,21.0333,105.85,42.113.196.0/22,,,
1,34.9988,138.3879,42.124.148.0/23,,,
1,39.2069,141.2629,42.125.244.0/22,,,
1,35.2266,139.6483,42.145.190.0/23,,,
1,35.4403,139.6137,42.148.48.0/22,,,
1,3.1729,101.7334,42.190.252.0/22,,,
1,3.0383,101.7094,42.191.54.0/24,,,
1,22.2833,114.15,42.200.191.0/24,,,
1,-33.8591,151.2002,43.225.12.0/24,,,
1,39.1422,117.1767,43.229.232.0/22,,,
1,22.25,114.1667,45.113.0.0/22,,,
1,20,77,45.113.66.0/24,,,
1,-33.8678,151.2073,45.122.230.0/24,,,
1,20,77,45.127.24.0/22,,,
1,22.5697,88.3697,45.248.56.128/26,,,
1,36.0564,103.7922,45.255.152.0/22,,,
1,28.6,77.2,47.31.98.0/24,,,
1,28.6667,77.2167,47.31.247.0/24,,,
1,23.2667,77.4,47.247.165.0/24,,,
1,-37.9181,145.0354,49.3.70.64/26,,,
1,20.9667,72.9,49.34.170.128/25,,,
1,13.05,100.9333,49.48.40.0/23,,,
1,37.4687,126.9458,49.142.35.128/25,,,
1,37.5985,126.9783,49.142.36.0/22,,,
1,9.6475,123.8556,49.145.128.32/27,,,
1,14.4736,121.0488,49.147.22.0/23,,,
1,10.3111,123.8917,49.147.161.0/24,,,
1,14.1818,121.3406,49.147.249.64/26,,,
1,10.3111,123.8917,49.148.104.0/21,,,
1,16.4164,120.5931,49.150.228.0/23,,,
1,24.757,121.753,49.158.204.0/24,,,
1,-27.5833,153.05,49.187.64.0/22,,,
1,-27.4732,153.0215,49.187.144.0/21,,,
1,-37.8182,145.0018,49.199.16.0/21,,,
1,16.7,81.1,49.207.200.0/24,,,
1,25.0478,121.5318,49.214.166.0/23,,,
1,25.0478,121.5318,49.218.84.0/24,,,
1,-36.8485,174.7635,49.225.198.0/24,,,
1,-35.2615,174.1226,49.225.209.224/27,,,
1,-36.8485,174.7635,49.227.107.0/24,,,
1,12.9833,77.5833,49.249.136.0/22,,,
1,34.65,137.2,49.253.222.0/23,,,
1,-33.8678,151.2073,49.255.213.0/24,,,
1,1.2931,103.8558,52.119.205.0/24,,,
1,14.5955,120.9721,58.69.160.228/30,,,
1,34.851,135.7882,58.70.52.0/24,,,
1,-27.5123,153.0325,58.96.43.48/29,,,
1,-27.5123,153.0325,58.96.43.224/28,,,
1,22.2833,114.15,58.152.96.0/23,,,
1,-33.8678,151.2073,58.164.1.64/26,,,
1,-27.35,152.9833,58.165.248.0/23,,,
1,22.3167,114.1667,58.176.216.0/23,,,
1,-34.0667,150.8167,58.178.17.0/25,,,
1,-33.75,150.7,58.178.25.128/26,,,
1,-37.7984,144.9783,58.179.140.0/22,,,
1,-31.9674,115.8621,58.179.208.0/21,,,
1,1.2931,103.8558,58.182.0.0/21,,,
1,35.2839,136.2504,58.191.152.0/21,,,
1,31.3041,120.5954,58.208.48.0/21,,,
1,32.0617,118.7778,58.211.38.0/23,,,
1,32.0617,118.7778,58.216.189.128/27,,,
1,32.0617,118.7778,58.222.206.0/24,,,
1,35.1028,129.0403,58.226.176.0/21,,,
1,36.8553,126.9537,59.11.64.0/22,,,
1,23.1167,113.25,59.41.168.0/21,,,
1,12.3072,76.6497,59.98.104.0/22,,,
1,-33.494,143.2104,59.100.155.0/24,,,
1,-37.8864,145.0025,59.100.164.0/24,,,
